Month,Date,Type,Special Name,Start Time,End Time
January,06-07,Shukla Paksha Ashtami,,6:24 PM,4:27 PM
January,21-22,Krishna Paksha Ashtami,,12:40 PM,3:18 PM
February,05-06,Shukla Paksha Ashtami,"Bhishma Ashtami, Budh Ashtami Vrat",2:31 AM,12:36 AM
February,20-21,Krishna Paksha Ashtami,,9:58 AM,11:58 AM
March,06-07,Shukla Paksha Ashtami,,10:51 AM,9:19 AM
March,22-23,Krishna Paksha Ashtami,Sheetala Ashtami,4:24 AM,5:23 AM
April,04-05,Shukla Paksha Ashtami,Ashoka Ashtami,8:13 PM,7:26 PM
April,20-21,Krishna Paksha Ashtami,,7:01 PM,6:59 PM
May,04-05,Shukla Paksha Ashtami,,7:19 AM,7:36 AM
May,20-21,Krishna Paksha Ashtami,,5:52 AM,4:55 AM
June,02-03,Shukla Paksha Ashtami,,8:35 PM,9:56 PM
June,18-19,Krishna Paksha Ashtami,,1:35 PM,11:56 AM
July,02-03,Shukla Paksha Ashtami,Budh Ashtami Vrat,11:59 AM,2:07 PM
July,17-18,Krishna Paksha Ashtami,,7:09 PM,5:02 PM
August,01-02,Shukla Paksha Ashtami,,4:58 AM,7:23 AM
August,15-16,Krishna Paksha Ashtami,Krishna Janmashtami,11:50 PM,9:35 PM
August,30-Sep 01,Shukla Paksha Ashtami,"Radha Ashtami, Durva Ashtami",10:47 PM,12:58 AM
September,14-15,Krishna Paksha Ashtami,Madhya Ashtami,5:04 AM,3:06 AM
September,29-30,Shukla Paksha Ashtami,Durga Ashtami,4:32 PM,6:06 PM
October,13-14,Krishna Paksha Ashtami,Ahoi Ashtami,12:24 PM,11:10 AM
October,29-30,Shukla Paksha Ashtami,"Budh Ashtami Vrat, Gopashtami",9:23 AM,10:07 AM
November,11-12,Krishna Paksha Ashtami,,11:09 PM,10:58 PM
November,28-29,Shukla Paksha Ashtami,,12:30 AM,12:15 AM
December,11-12,Krishna Paksha Ashtami,,1:57 PM,2:57 PM
December,27-28,Shukla Paksha Ashtami,,1:10 PM,12:00 PM


